ZCTA,Total,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%
92806,74478,0.492454148,0.507545852,0.033768361,0.098069228,0.182590832,0.126171487,0.051854239,0.038830259,0.099747576,0.18460485,0.123942641,0.060420527
92807,39442,0.502966381,0.497033619,0.031387861,0.079711982,0.19139496,0.132041986,0.068429593,0.037143147,0.076416003,0.174255869,0.12897419,0.08024441
92808,35687,0.497071763,0.502928237,0.029086222,0.072211169,0.127105108,0.146131645,0.122537619,0.018073808,0.067587637,0.114495475,0.154622131,0.148149186
92821,20483,0.472684665,0.527315335,0.025728653,0.076795391,0.1233706,0.155738905,0.091051116,0.02455695,0.089195919,0.128985012,0.16901821,0.115559244
92823,37712,0.476824353,0.523175647,0.030043487,0.073265804,0.140936572,0.138152312,0.094426177,0.02397115,0.086656767,0.147353627,0.15289563,0.112298473
92831,4872,0.489326765,0.510673235,0.04228243,0.106527094,0.114942529,0.158866995,0.066707718,0.044129721,0.110221675,0.135878489,0.13772578,0.08271757
92832,37359,0.512486951,0.487513049,0.027168821,0.079498916,0.22792366,0.113600471,0.064295083,0.034743971,0.056532562,0.212532455,0.105516743,0.078187318
92833,25837,0.500212873,0.499787127,0.037194721,0.079730619,0.194875566,0.124124318,0.064287649,0.03413709,0.091922437,0.161899601,0.11785424,0.093973759
92835,52435,0.499265758,0.500734242,0.03547249,0.084981406,0.152169353,0.136492801,0.090149709,0.037227043,0.074721083,0.14795461,0.13756079,0.103270716
92840,23528,0.472925876,0.527074124,0.024821489,0.066771506,0.121684801,0.145061204,0.114586875,0.015980959,0.087767766,0.112801768,0.159639578,0.150884053
92841,54735,0.503571755,0.496428245,0.026527816,0.084223988,0.173618343,0.135379556,0.083822052,0.025230657,0.070923541,0.159568832,0.137882525,0.102822691
92843,33754,0.498370563,0.501629437,0.025122948,0.076850151,0.149760028,0.140161166,0.106476269,0.02541921,0.088226581,0.142205368,0.139094626,0.106683652
92844,46873,0.495295799,0.504704201,0.026753141,0.080131419,0.156529345,0.146352911,0.085528983,0.025643761,0.091353231,0.146736927,0.142747424,0.098222858
92845,23189,0.487472509,0.512527491,0.018112036,0.066152055,0.158307818,0.144120057,0.100780542,0.028849886,0.079563586,0.13872957,0.150028031,0.115356419
92860,16273,0.516745529,0.483254471,0.029066552,0.103791557,0.125729736,0.147053401,0.111104283,0.025379463,0.064155349,0.111657347,0.144656793,0.137405518
92861,26849,0.536891504,0.463108496,0.020335953,0.074378934,0.170881597,0.178032701,0.093262319,0.019889009,0.080859622,0.118067712,0.141457782,0.10283437
92865,5822,0.484369632,0.515630368,0.01202336,0.085365854,0.069907248,0.150291996,0.166781175,0.00755754,0.077636551,0.075918928,0.169357609,0.185159739
92866,20664,0.50261324,0.49738676,0.033197832,0.073025552,0.181378242,0.133372048,0.081639566,0.04113434,0.076606659,0.161343399,0.126838947,0.091463415
92867,15574,0.46025427,0.53974573,0.026646976,0.070502119,0.168550148,0.120521382,0.074033646,0.021510209,0.060357005,0.233658662,0.118851933,0.105367921
92868,44655,0.485007278,0.514992722,0.027925204,0.08834397,0.166185198,0.125069981,0.077482925,0.03735304,0.082140858,0.16768559,0.132952637,0.094860598
92869,27072,0.539191785,0.460808215,0.023529846,0.068114657,0.249187352,0.137522163,0.060837766,0.034943853,0.061059397,0.188866726,0.091681442,0.084256797
92870,36846,0.495087662,0.504912338,0.027981328,0.082478424,0.147044455,0.140530858,0.097052597,0.026760028,0.075937687,0.140612278,0.148862835,0.11273951
92879,53600,0.49630597,0.50369403,0.029813433,0.098731343,0.145970149,0.125242537,0.096548507,0.028320896,0.076175373,0.152593284,0.138955224,0.107649254
92880,47872,0.497263536,0.502736464,0.030581551,0.088569519,0.173253676,0.140311664,0.064547126,0.033568683,0.101207386,0.161722928,0.128927139,0.077310328
92881,69656,0.490553578,0.509446422,0.040269324,0.109021477,0.153468474,0.134173653,0.05362065,0.045968761,0.10236017,0.157416447,0.134920179,0.068780866
92882,33531,0.501953416,0.498046584,0.025349676,0.112850795,0.138975873,0.155229489,0.069547583,0.018072828,0.084727566,0.144135278,0.165041305,0.086069607
92883,73250,0.49687372,0.50312628,0.036054608,0.089924915,0.161979522,0.137843003,0.071071672,0.031385666,0.090607509,0.162307167,0.137242321,0.081583618
92886,35933,0.487796733,0.512203267,0.035761,0.101689255,0.124398186,0.137672891,0.088275401,0.025408399,0.116132803,0.125873153,0.146912309,0.097876604
92887,50784,0.480879805,0.519120195,0.025145715,0.093553088,0.103733459,0.142859956,0.115587587,0.028197858,0.090973535,0.118088374,0.145754568,0.13610586
