,ZCTA,All_death,Heart_death
494,92508,152.0,43.0
495,92509,471.0,119.0
496,92518,42.0,
497,92530,309.0,78.0
498,92532,110.0,20.0
499,92536,42.0,13.0
500,92539,60.0,13.0
501,92543,530.0,163.0
502,92544,519.0,137.0
503,92545,651.0,192.0
504,92548,77.0,24.0
505,92549,54.0,12.0
506,92551,160.0,36.0
507,92553,401.0,85.0
508,92555,248.0,51.0
509,92557,295.0,85.0
510,92561,20.0,
511,92562,432.0,111.0
512,92563,380.0,94.0
513,92567,52.0,16.0
514,92570,333.0,77.0
515,92571,230.0,51.0
516,92582,104.0,25.0
517,92583,290.0,79.0
518,92584,300.0,80.0
519,92585,188.0,59.0
520,92586,520.0,162.0
521,92587,112.0,33.0
522,92590,22.0,0.0
523,92591,246.0,70.0
524,92592,349.0,89.0
525,92595,257.0,67.0
526,92596,128.0,21.0
527,92602,61.0,
528,92603,77.0,22.0
529,92604,158.0,44.0
530,92606,71.0,11.0
531,92610,28.0,
532,92612,145.0,32.0
533,92614,92.0,17.0
534,92617,11.0,0.0
535,92618,101.0,21.0
536,92620,177.0,37.0
537,92624,85.0,23.0
538,92625,132.0,39.0
539,92626,369.0,85.0
540,92627,360.0,82.0
541,92629,222.0,50.0
542,92630,450.0,89.0
543,92637,595.0,179.0
544,92646,493.0,116.0
545,92647,402.0,88.0
546,92648,322.0,64.0
547,92649,279.0,70.0
548,92651,170.0,35.0
549,92653,276.0,79.0
550,92655,68.0,16.0
551,92656,193.0,51.0
552,92657,43.0,
553,92660,276.0,76.0
554,92661,29.0,
555,92662,39.0,11.0
556,92663,150.0,42.0
557,92672,261.0,72.0
558,92673,173.0,44.0
559,92675,294.0,78.0
560,92677,390.0,90.0
561,92679,129.0,26.0
562,92683,672.0,170.0
563,92688,163.0,41.0
564,92691,450.0,109.0
565,92692,369.0,92.0
566,92694,90.0,
567,92701,198.0,47.0
568,92703,299.0,72.0
569,92704,370.0,83.0
570,92705,345.0,80.0
571,92706,225.0,51.0
572,92707,252.0,54.0
573,92708,516.0,138.0
574,92780,310.0,69.0
575,92782,80.0,21.0
576,92801,405.0,102.0
577,92802,254.0,62.0
578,92804,625.0,158.0
579,92805,307.0,60.0
