ZCTA,Total Population,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Total_Population_18plus,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,Employed_16_above,All_death,Heart_death,Income,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%,OSM_healthcare_poi,zip_level_facilities,zip_level_facilities_filtered,county_level_facilities,county_level_facilities_filtered,county_name,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
90012,31103,0.20600000000000002,0.153,0.17,0.278,0.040999999999999995,0.068,0.051,0.045,0.265,0.13699999999999998,0.11599999999999999,0.23,0.032,33437,0.2971417548146481,0.20448188277658103,0.23499340899591678,0.33842394624312766,1.090795100151111,196.0,48.0,47027.0,0.505797688,0.494202312,0.043376962,0.1167004,0.178221563,0.12142311,0.046075653,0.039949624,0.11571088,0.168587235,0.117599964,0.052354608,3.0,10.0,5.0,6130.0,1247.0,Los Angeles,0.9720284216956564,0.2710992508761213,0.1369642799729929,0.005980130534032,0.4403433752371153,0.0018004694080956,0.1158409156672989,0.0279715783043436
90013,11772,0.17800000000000002,0.218,0.159,0.37200000000000005,0.049,0.086,0.078,0.076,0.28800000000000003,0.177,0.16399999999999998,0.33899999999999997,0.051,12154,0.15528372409106353,0.20251444104655114,0.2832993544002718,0.3913523615358478,1.0337240910635406,143.0,43.0,22316.0,0.61829722,0.38170278,0.015484789,0.033185599,0.339352156,0.15561392,0.074660757,0.013432917,0.02311775,0.163274239,0.073511709,0.108366163,4.0,12.0,11.0,6130.0,1247.0,Los Angeles,0.9567618076792388,0.372579001019368,0.3236493374108053,0.0142711518858307,0.1558783554196398,0.0014441046551138,0.0889398572884811,0.0432381923207611
90014,7005,0.18,0.222,0.159,0.373,0.053,0.085,0.08199999999999999,0.078,0.29,0.17600000000000002,0.165,0.32799999999999996,0.053,8561,0.163169164882227,0.21241970021413276,0.32790863668807996,0.5186295503211992,1.2221270521056389,98.0,33.0,40641.0,0.634525042,0.365474958,0.009554901,0.007166176,0.254080739,0.241500119,0.122223107,0.007484672,0.008042042,0.160761207,0.107572259,0.081614778,1.0,8.0,2.0,6130.0,1247.0,Los Angeles,0.950178443968594,0.401570306923626,0.2937901498929336,0.0127052105638829,0.1640256959314775,0.0015703069236259,0.0765167737330478,0.0498215560314061
90015,18986,0.266,0.149,0.166,0.252,0.036000000000000004,0.081,0.048,0.047,0.25,0.14,0.11800000000000001,0.295,0.028999999999999998,18648,0.25387127356999895,0.15190140103233962,0.22600863794374804,0.350416096070789,1.0074265248077532,93.0,22.0,43890.0,0.599217311,0.400782689,0.002302026,0.003453039,0.255639963,0.188075506,0.149746777,0.006445672,0.002417127,0.198664825,0.07861418,0.114640884,6.0,17.0,13.0,6130.0,1247.0,Los Angeles,0.9541767618245024,0.3534709786158221,0.0702622985357632,0.0103233961866638,0.1406826082376488,0.000790055830612,0.3786474244179922,0.0458232381754977
90016,47596,0.22899999999999998,0.188,0.16,0.311,0.047,0.092,0.05,0.052000000000000005,0.268,0.139,0.129,0.33299999999999996,0.038,36892,0.1854777712412808,0.16663164971846373,0.2417219934448273,0.18127573745692915,0.8003193545676107,323.0,72.0,48715.0,0.508454373,0.491545627,0.033464306,0.059644166,0.24418348,0.123923889,0.047238533,0.019425191,0.064191426,0.241490442,0.106706106,0.059732462,3.0,9.0,5.0,6130.0,1247.0,Los Angeles,0.9501008488108243,0.2448314984452475,0.3745903017060257,0.0090133624674342,0.0309479788217497,0.0011345491217749,0.2895831582485923,0.0498991511891755
90017,23768,0.307,0.147,0.166,0.254,0.033,0.086,0.051,0.053,0.243,0.162,0.12,0.305,0.031,21792,0.30974419387411645,0.1430074049141703,0.1893301918545944,0.274781218444968,0.9435796028273309,110.0,30.0,35605.0,0.499357284,0.500642716,0.030719624,0.074860019,0.182727293,0.131636855,0.079413495,0.018671431,0.071984139,0.155123205,0.145406218,0.109457722,3.0,21.0,11.0,6130.0,1247.0,Los Angeles,0.9456832716257152,0.3477785257489061,0.0601649276337933,0.0202372938404577,0.1356866374957926,0.0010097610232245,0.3808061258835409,0.0543167283742847
90018,49310,0.247,0.19,0.158,0.311,0.047,0.091,0.054000000000000006,0.055,0.26899999999999996,0.141,0.135,0.33299999999999996,0.04,41187,0.2262218616913405,0.20853782194281079,0.23974852970999797,0.16075846684242548,0.8653822754005273,346.0,98.0,45984.0,0.537640227,0.462359773,0.037838618,0.080691123,0.24658226,0.11117123,0.061356996,0.026584424,0.06882372,0.199004437,0.105147351,0.062799841,3.0,9.0,1.0,6130.0,1247.0,Los Angeles,0.9528290407625228,0.2600892313932265,0.3176434800243358,0.0095518150476576,0.0369296288785236,0.0013181910363009,0.3272966943824782,0.0471709592374771
90019,64458,0.19899999999999998,0.175,0.16,0.28600000000000003,0.047,0.08199999999999999,0.047,0.046,0.27,0.125,0.11599999999999999,0.284,0.033,52987,0.18478699308076577,0.15726519594154334,0.20760805485742653,0.27237891340097425,0.8388097676006081,393.0,106.0,56389.0,0.483529632,0.516470368,0.031164704,0.087006917,0.174780333,0.122938867,0.067638811,0.028584782,0.083249205,0.174742943,0.131632081,0.098261357,4.0,13.0,3.0,6130.0,1247.0,Los Angeles,0.9517825560830308,0.299745570759254,0.2365726519594154,0.0089515653603897,0.1574513636786745,0.0009153247075615,0.2481460796177355,0.0482174439169691
90020,38967,0.177,0.133,0.151,0.23,0.036000000000000004,0.067,0.034,0.034,0.255,0.11699999999999999,0.09300000000000001,0.21600000000000003,0.022000000000000002,32031,0.1377575897554341,0.1859522159776221,0.1699643287910283,0.3283290989811892,0.8375548541073216,151.0,40.0,49068.0,0.492438095,0.507561905,0.031425295,0.052282518,0.186924722,0.139414882,0.082390678,0.032726935,0.062494189,0.164998295,0.141181393,0.106161093,10.0,10.0,6.0,6130.0,1247.0,Los Angeles,0.9640208381450972,0.2434367541766109,0.058254420407011,0.005697128339364,0.4751456360510175,0.0007955449482895,0.1806913542228039,0.0359791618549028
90021,3951,0.228,0.228,0.16,0.391,0.046,0.08900000000000001,0.09,0.09,0.308,0.201,0.192,0.389,0.057999999999999996,2612,0.21133890154391294,0.11136421159200202,0.1513540875727664,0.18704125537838523,0.6724879777271576,31.0,,21635.0,0.489218913,0.510781087,0.037867769,0.058358213,0.202684427,0.122687489,0.067621016,0.024267014,0.0621603,0.206460997,0.139503432,0.078389344,,6.0,4.0,6130.0,1247.0,Los Angeles,0.9633004302708176,0.4100227790432801,0.3143507972665148,0.0124019235636547,0.0399898759807643,0.0010124019235636,0.1855226524930397,0.0366995697291824
90022,67179,0.341,0.159,0.16399999999999998,0.259,0.04,0.08199999999999999,0.052000000000000005,0.047,0.271,0.136,0.133,0.32799999999999996,0.03,48808,0.3008231739085131,0.18699295910924546,0.17834442310841186,0.060376010360380476,0.7591806963485613,377.0,90.0,46051.0,0.615619694,0.384380306,0.00713073,0.076400679,0.209168081,0.250594228,0.072325976,0.020033956,0.00950764,0.208149406,0.097453311,0.049235993,7.0,24.0,19.0,6130.0,1247.0,Los Angeles,0.9662096786198068,0.5236308965599369,0.0057607287991783,0.0127718483454651,0.0081721966686017,0.0005358817487607,0.4153381264978639,0.0337903213801932
90023,45903,0.36700000000000005,0.156,0.165,0.257,0.037000000000000005,0.085,0.053,0.05,0.265,0.149,0.134,0.336,0.03,33345,0.33888852580441364,0.18831013223536588,0.15171121713177788,0.04751323442912228,0.7587303662070017,240.0,61.0,42972.0,0.492568717,0.507431283,0.038096517,0.099382219,0.169173606,0.117229236,0.06868714,0.031217358,0.102978482,0.165771331,0.122765392,0.08469872,2.0,8.0,4.0,6130.0,1247.0,Los Angeles,0.9683027253120712,0.4961985055442999,0.0067098011023244,0.0121996383678626,0.005947323704333,0.0006971221924492,0.4465503344008016,0.0316972746879288
90024,47452,0.113,0.125,0.18600000000000003,0.179,0.042,0.084,0.031,0.033,0.198,0.091,0.047,0.187,0.017,47451,0.019324791368119362,0.0997007502318132,0.48082272612324034,0.40013065834949,1.0131501306583495,189.0,54.0,65855.0,0.507390746,0.492609254,0.039224507,0.113774636,0.175278492,0.117352185,0.061760925,0.032754927,0.09991431,0.161289632,0.120072836,0.078577549,1.0,6.0,4.0,6130.0,1247.0,Los Angeles,0.945039197504847,0.6160330439180646,0.0214532580291663,0.0016648402596307,0.2658475933574981,0.0012012138582146,0.0388392480822726,0.054960802495153
90025,42147,0.095,0.146,0.2,0.205,0.051,0.071,0.033,0.032,0.24100000000000002,0.08800000000000001,0.059000000000000004,0.20600000000000002,0.019,41378,0.06629178826488244,0.08228343654352623,0.17272878259425345,0.6604503286117636,0.9926685173321944,220.0,52.0,87280.0,0.444806012,0.555193988,0.011970481,0.023805373,0.293974083,0.049760784,0.065295291,0.015708835,0.029403219,0.364073063,0.064578612,0.081430259,3.0,20.0,6.0,6130.0,1247.0,Los Angeles,0.94578499062804,0.6467126960400503,0.0281158801338173,0.0049825610363726,0.1988753647946473,0.0011625975751536,0.0659358910479986,0.05421500937196
90026,67869,0.2,0.145,0.179,0.233,0.040999999999999995,0.07400000000000001,0.04,0.038,0.259,0.11800000000000001,0.09699999999999999,0.261,0.024,57531,0.18537181924000648,0.14156684200444974,0.20395173053971621,0.3167867509466767,0.863914305500302,288.0,61.0,65269.0,0.513213745,0.486786255,0.02220421,0.042254122,0.276048888,0.100270887,0.072435638,0.018343536,0.034618092,0.224409701,0.11046648,0.098948446,5.0,20.0,7.0,6130.0,1247.0,Los Angeles,0.9505960011198044,0.467267824780091,0.0294832692392697,0.0125535958979799,0.1732602513666033,0.0012376784688149,0.2667933813670453,0.0494039988801956
90027,45151,0.11699999999999999,0.17600000000000002,0.188,0.24600000000000002,0.057,0.076,0.045,0.044000000000000004,0.268,0.109,0.081,0.24,0.025,39488,0.08436136519678412,0.13056189231689222,0.1940599322274147,0.465593231600629,0.8842107594516179,311.0,90.0,66947.0,0.509737904,0.490262096,0.02512118,0.059094999,0.226845267,0.138565582,0.060110876,0.027631846,0.053231939,0.204829768,0.113865266,0.090703277,3.0,22.0,11.0,6130.0,1247.0,Los Angeles,0.9544639099909192,0.6984341432083453,0.0312728400256915,0.0044960244512856,0.1327323868795818,0.0007973245332329,0.086731190892782,0.0455360900090806
90028,28714,0.147,0.155,0.204,0.23399999999999999,0.045,0.079,0.042,0.044000000000000004,0.239,0.12300000000000001,0.08,0.263,0.024,27759,0.09998606951312948,0.1574841540711848,0.2746395486522254,0.43463119036010306,0.9758306052796545,195.0,48.0,45499.0,0.485392004,0.514607996,0.024637034,0.040026804,0.200446728,0.132365423,0.087916015,0.019231628,0.034085325,0.214540987,0.13127094,0.115479115,8.0,11.0,6.0,6130.0,1247.0,Los Angeles,0.9504771191753152,0.6314689698404959,0.0794734275962944,0.0073483318241972,0.0834436163543915,0.0020547468134011,0.1466880267465347,0.0495228808246848
90029,38617,0.226,0.168,0.16699999999999998,0.262,0.045,0.078,0.05,0.051,0.273,0.133,0.113,0.278,0.03,31206,0.20159515239402337,0.18380505994769142,0.19424087836962994,0.228448610715488,0.8232384701038403,246.0,64.0,41998.0,0.538422785,0.461577215,0.010411769,0.025089004,0.26909384,0.15469873,0.079129442,0.011452946,0.020722778,0.223718681,0.112816551,0.092866259,16.0,33.0,11.0,6130.0,1247.0,Los Angeles,0.9508506616257087,0.438848175673926,0.0319030478804671,0.00888209855763,0.1627521557863117,0.0010358132428723,0.3074293704845016,0.0491493383742911
90031,39316,0.276,0.16899999999999998,0.14400000000000002,0.27899999999999997,0.042,0.077,0.055999999999999994,0.051,0.287,0.14,0.13699999999999998,0.27699999999999997,0.033,31306,0.2889154542679825,0.1691932037847187,0.17600976701597315,0.16214772611659375,0.8239647980465968,243.0,62.0,48479.0,0.503681684,0.496318316,0.022690084,0.048925494,0.208846951,0.139249482,0.083969674,0.020835606,0.056507036,0.193220247,0.120186539,0.105568888,7.0,4.0,3.0,6130.0,1247.0,Los Angeles,0.9624834672906704,0.3563943432699155,0.0133533421507783,0.010860718282633,0.2535863261776376,0.0006358734357513,0.3276528639739546,0.0375165327093295
90032,45786,0.266,0.157,0.162,0.255,0.043,0.076,0.048,0.043,0.275,0.11900000000000001,0.12300000000000001,0.289,0.027999999999999997,37525,0.24426680644738566,0.18708775608264536,0.24007338487747346,0.14814572139955445,0.8468309090114883,276.0,72.0,57225.0,0.488550957,0.511449043,0.024902295,0.079291512,0.181531216,0.129246417,0.073579517,0.029737449,0.081771721,0.158783445,0.129647259,0.111509169,3.0,3.0,2.0,6130.0,1247.0,Los Angeles,0.9589830952692964,0.4500939151705762,0.0229327742104573,0.014851701393439,0.1118245751976586,0.0007207443323286,0.3585593849648364,0.0410169047307037
90033,48852,0.354,0.16899999999999998,0.155,0.276,0.040999999999999995,0.085,0.059000000000000004,0.055,0.27899999999999997,0.15,0.14400000000000002,0.331,0.034,34861,0.32041676901662164,0.17446573323507739,0.13755833947433063,0.08116351428805371,0.7526815688201097,291.0,67.0,38266.0,0.49268181,0.50731819,0.034061335,0.077387521,0.181528596,0.121671421,0.078032937,0.028231767,0.079053112,0.17161833,0.118798276,0.109616706,8.0,25.0,15.0,6130.0,1247.0,Los Angeles,0.9603291574551708,0.4597150577253746,0.0189552116597068,0.0110128551543437,0.0434782608695652,0.0004708097928436,0.4266969622533366,0.0396708425448292
90034,57964,0.11900000000000001,0.131,0.201,0.19899999999999998,0.042,0.07200000000000001,0.028999999999999998,0.028999999999999998,0.228,0.092,0.063,0.225,0.018000000000000002,46559,0.07025050031053758,0.09026292181353944,0.19779518321716927,0.4449313366917397,0.8151611344972741,239.0,64.0,75714.0,0.480520802,0.519479198,0.0335266,0.113803275,0.159841318,0.110283796,0.063065812,0.03838877,0.105075781,0.158986878,0.126070593,0.090957176,14.0,9.0,1.0,6130.0,1247.0,Los Angeles,0.9456386722793458,0.4960320198744048,0.1053239942032986,0.0086432958387964,0.1917051963287557,0.0026568214753985,0.1412773445586916,0.0543613277206542
90035,28418,0.084,0.18600000000000003,0.193,0.249,0.066,0.078,0.043,0.04,0.273,0.09300000000000001,0.07200000000000001,0.231,0.025,21341,0.036983601942430853,0.085438806390316,0.1672531494123443,0.4612921387852769,0.7740516574002393,196.0,51.0,89337.0,0.509422402,0.490577598,0.016821076,0.043890756,0.261190843,0.12703069,0.060489037,0.024637493,0.050221867,0.225023672,0.117450474,0.073244091,5.0,11.0,4.0,6130.0,1247.0,Los Angeles,0.9518614962347808,0.7605742839045675,0.090365261454008,0.0028854951087339,0.0628474910268139,0.0005982124005911,0.0345907523400661,0.0481385037652192
90036,36865,0.08,0.136,0.21,0.19399999999999998,0.048,0.071,0.028999999999999998,0.027999999999999997,0.228,0.085,0.053,0.204,0.017,31843,0.022487454224874543,0.08010307880103079,0.18920385189203853,0.5719788417197884,0.8763054387630543,208.0,63.0,80539.0,0.476679378,0.523320622,0.039417718,0.071868583,0.153894104,0.11799648,0.093502493,0.035347609,0.070841889,0.187408331,0.120233206,0.109489586,1.0,14.0,6.0,6130.0,1247.0,Los Angeles,0.962457615624576,0.6727519327275193,0.0582666485826664,0.0020073240200732,0.2039603960396039,0.0010307880103078,0.0244405262444052,0.0375423843754238
90037,62276,0.342,0.174,0.158,0.295,0.037000000000000005,0.098,0.055,0.062,0.258,0.179,0.141,0.364,0.039,48804,0.3387982529385317,0.2179009570299955,0.1750594129359625,0.051914059991007774,0.8134754961783031,359.0,96.0,35424.0,0.462004478,0.537995522,0.031871461,0.048597392,0.195969972,0.127538522,0.05802713,0.023732385,0.057052548,0.249440274,0.125115238,0.082655077,6.0,9.0,7.0,6130.0,1247.0,Los Angeles,0.9595189157942065,0.2632635365148693,0.2230875457640182,0.0110154794784507,0.0086710771404714,0.0009313379150876,0.452549938981309,0.0404810842057935
90038,28917,0.222,0.152,0.187,0.23800000000000002,0.04,0.081,0.043,0.046,0.25,0.136,0.098,0.28800000000000003,0.026000000000000002,24086,0.20078154718677593,0.16668395753363074,0.19801500847252482,0.26745513020022826,0.851644361448283,124.0,29.0,47116.0,0.501596688,0.498403312,0.040257244,0.097161443,0.190227676,0.120653459,0.053296866,0.041573034,0.099482555,0.161531638,0.122028386,0.0737877,1.0,4.0,2.0,6130.0,1247.0,Los Angeles,0.949337759795276,0.5148528547221358,0.0423280423280423,0.0067088563820589,0.0811979112632707,0.0014178510910537,0.3028322440087146,0.0506622402047238
90039,28514,0.14,0.159,0.182,0.239,0.052000000000000005,0.069,0.04,0.035,0.276,0.095,0.08800000000000001,0.235,0.023,24775,0.11569755207968016,0.11948516518201585,0.21627972224170583,0.4174089920740689,0.8899487970821351,189.0,44.0,90538.0,0.535864241,0.464135759,0.021763471,0.060916725,0.252379286,0.140202939,0.060601819,0.019944017,0.054618614,0.204688593,0.115395381,0.069489153,1.0,19.0,0.0,6130.0,1247.0,Los Angeles,0.948376236234832,0.5652661850319142,0.0226906081223258,0.0064880409623342,0.1837343059549694,0.00143789015922,0.1687592060040681,0.0516237637651679
90040,12520,0.314,0.165,0.16399999999999998,0.262,0.045,0.08,0.053,0.046,0.281,0.124,0.131,0.314,0.03,9392,0.29768370607028755,0.18202875399361024,0.20359424920127794,0.06685303514376997,0.7835463258785943,88.0,23.0,47120.0,0.50064385,0.49935615,0.030599797,0.05367672,0.194442562,0.135750593,0.086174178,0.021856998,0.054320569,0.160420197,0.149813623,0.112944764,,6.0,2.0,6130.0,1247.0,Los Angeles,0.9539936102236422,0.55,0.0074281150159744,0.0128594249201277,0.011182108626198,0.0007188498402555,0.3718051118210863,0.0460063897763578
90041,27425,0.132,0.166,0.166,0.24600000000000002,0.054000000000000006,0.069,0.042,0.037000000000000005,0.284,0.091,0.092,0.218,0.024,23978,0.08627164995442115,0.13801276207839563,0.2872196900638104,0.3628076572470374,0.8936736554238833,192.0,57.0,85971.0,0.484993511,0.515006489,0.027903958,0.085739779,0.159393251,0.115996106,0.095960415,0.030499676,0.094013628,0.164422453,0.127514601,0.098556132,3.0,30.0,6.0,6130.0,1247.0,Los Angeles,0.9472379216043756,0.4914129443938013,0.0223154056517775,0.0074384685505925,0.2836098450319052,0.0010574293527803,0.1414038286235187,0.0527620783956244
90042,62430,0.21600000000000003,0.151,0.17300000000000001,0.23800000000000002,0.043,0.07400000000000001,0.040999999999999995,0.038,0.265,0.111,0.102,0.272,0.024,51096,0.1814031715521384,0.17076725933045012,0.2185808105077687,0.24770142559666827,0.8410219445779272,282.0,84.0,64267.0,0.479305603,0.520694397,0.031969749,0.055448608,0.173427295,0.129804056,0.088655895,0.0224132,0.065898934,0.159779993,0.130491578,0.142110691,3.0,11.0,8.0,6130.0,1247.0,Los Angeles,0.9467884030113728,0.4764055742431523,0.0256447220887393,0.0114688451065193,0.1222489187890437,0.0008970046452026,0.3101233381387153,0.0532115969886272
90043,44789,0.177,0.223,0.147,0.371,0.057999999999999996,0.099,0.055999999999999994,0.057,0.29,0.134,0.14400000000000002,0.34700000000000003,0.047,36953,0.14278059344928443,0.18424166648060908,0.29777400701064993,0.20025006139900423,0.847708142624305,492.0,163.0,54729.0,0.492839397,0.507160603,0.029686832,0.06535534,0.188865855,0.132846993,0.076084376,0.030224867,0.066162391,0.188296172,0.12934977,0.093127403,1.0,9.0,3.0,6130.0,1247.0,Los Angeles,0.9570876777780258,0.1099153810087298,0.6586438634486146,0.0060952466007278,0.0084842260376431,0.0008707495143896,0.1730782111679207,0.0429123222219741
