,ZCTA5,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev
12962,39051,24.1,30.7,12.5,45.3,6.9,11.0,8.3,10.0,37.1,24.2,15.6,42.7,5.2
12963,44311,19.8,22.3,16.4,32.0,3.7,13.7,6.0,10.4,20.4,31.9,12.4,41.2,4.1
12964,55438,7.4,20.2,21.5,26.2,7.7,8.0,5.0,4.0,30.1,10.5,7.2,22.7,2.6
12965,37211,22.7,22.0,18.2,30.2,5.1,9.7,4.9,7.0,28.0,19.6,10.1,33.3,2.8
12966,53217,6.8,28.4,22.9,28.5,8.0,8.7,4.8,4.1,34.8,11.1,7.7,29.9,2.5
12967,54845,10.5,35.3,19.8,37.0,9.2,10.2,7.8,8.1,37.9,19.0,11.8,38.3,4.0
12968,39576,16.7,24.1,16.3,34.1,6.5,9.4,5.3,6.6,34.1,18.3,9.8,32.7,3.1
12969,52159,11.2,29.3,19.4,36.7,8.4,9.0,8.1,8.2,33.8,20.2,11.8,38.2,4.1
12970,31029,22.4,26.6,15.8,37.7,6.7,9.8,6.8,8.4,34.5,22.0,12.9,33.8,4.1
12971,45377,10.3,29.2,17.0,33.8,8.0,10.2,6.7,8.8,33.0,20.0,11.2,33.5,3.4
12972,47901,15.2,17.8,19.9,25.8,4.2,10.5,4.4,6.7,25.4,21.5,8.1,32.3,2.4
12973,42102,15.2,28.7,14.1,36.7,5.9,9.5,6.5,9.1,33.9,24.8,11.7,38.7,3.3
12974,55926,10.6,22.9,21.6,31.1,7.9,9.0,6.5,6.3,30.1,18.8,9.5,34.1,3.3
12975,55768,10.2,28.6,19.7,33.6,8.0,9.5,7.2,7.1,32.9,20.1,10.5,35.2,3.7
12976,45869,9.2,26.7,19.7,32.2,7.3,9.6,5.8,7.5,29.8,18.8,9.3,37.9,2.9
12977,45692,14.9,34.2,15.3,39.2,7.5,11.5,9.0,13.1,34.8,28.2,14.0,42.2,4.5
12978,50153,9.1,26.4,21.1,33.7,7.9,7.9,6.3,6.4,32.8,18.0,10.2,33.6,3.2
12979,33810,22.4,28.1,16.4,36.8,8.1,9.4,7.8,10.2,36.0,19.9,12.6,34.7,4.2
12980,46773,11.5,26.5,17.7,33.6,7.7,9.4,6.8,8.3,32.0,20.1,10.7,36.4,3.4
12981,32814,16.3,15.1,24.4,20.7,4.7,8.1,3.3,4.5,23.2,14.5,5.7,26.6,1.8
12982,30311,29.6,28.9,11.6,47.8,6.2,11.8,8.4,9.9,32.8,23.0,20.6,41.9,6.8
12983,51334,11.3,27.1,20.7,34.7,8.1,8.5,7.3,7.1,33.2,17.3,10.7,35.8,3.7
12984,41230,12.8,37.2,13.2,43.5,7.7,11.1,9.5,13.5,38.9,30.4,14.2,40.6,4.7
12985,40376,9.8,43.9,11.9,49.9,9.6,10.3,10.8,14.4,45.1,25.6,17.5,39.9,5.3
12986,47337,12.6,30.3,15.1,38.8,8.4,10.1,8.1,9.8,36.4,21.4,12.8,35.8,4.1
12987,49808,8.4,40.2,16.4,43.0,11.4,9.8,9.4,9.9,45.0,16.1,13.4,34.6,4.4
12988,52332,9.1,27.2,20.8,32.4,7.9,8.4,6.3,6.4,33.6,17.8,9.9,35.0,3.2
12989,31787,23.0,28.8,15.2,42.1,6.4,10.4,6.9,8.6,35.5,22.3,15.1,39.4,4.6
12990,47164,12.8,26.4,16.9,35.7,7.2,10.2,6.7,9.2,34.4,23.5,11.4,37.0,3.5
12991,32355,20.5,30.9,17.4,37.9,8.3,9.4,8.5,12.2,36.3,25.1,12.9,36.8,4.6
12992,54149,10.8,36.4,17.7,39.9,10.4,9.6,9.3,8.8,39.5,17.9,12.8,36.5,4.6
12993,52157,10.2,30.3,18.9,38.2,8.7,8.7,8.3,8.0,36.7,19.3,12.4,38.7,4.1
12994,37890,19.3,32.5,13.4,41.8,8.0,10.4,8.4,11.7,38.2,24.3,13.9,38.9,4.3
12995,44861,11.9,25.6,19.9,29.3,6.5,10.4,5.6,7.7,26.9,22.9,9.0,36.5,2.9
12996,49271,12.5,34.5,18.6,36.0,8.1,11.0,7.7,10.3,37.2,23.5,11.5,41.2,3.9
12997,39705,15.7,24.2,14.9,35.9,6.5,9.4,5.6,6.3,33.1,15.8,10.5,35.5,3.3
12998,48201,16.8,30.2,15.6,42.2,5.4,13.8,8.8,11.1,31.8,25.4,18.0,45.8,6.3
12999,50250,10.0,29.2,19.6,35.9,8.9,8.5,7.5,7.3,34.5,18.0,11.2,38.4,3.8
13000,45746,12.0,31.8,17.7,37.4,7.9,10.5,8.3,10.9,33.4,24.6,13.1,39.7,4.0
13001,49622,9.4,34.7,16.9,37.8,9.4,10.0,7.6,8.8,39.0,18.3,11.5,33.8,3.7
13002,38618,21.2,31.0,13.2,44.9,6.9,10.5,7.5,9.2,38.6,22.2,14.4,42.1,4.6
13003,33510,20.8,22.3,19.0,30.1,6.2,8.7,5.2,7.1,29.6,18.2,9.9,29.4,3.1
13004,52747,8.6,25.4,22.2,32.3,8.1,8.2,6.0,5.8,32.9,16.1,9.2,35.2,3.0
13005,39335,18.8,31.9,13.9,45.5,7.1,10.0,7.5,8.5,37.3,21.5,15.3,43.2,4.7
13006,44705,16.1,31.6,15.8,37.5,6.7,12.6,8.6,12.1,30.0,29.4,15.3,42.5,5.0
13007,53156,11.7,28.4,22.7,30.5,7.6,9.7,5.9,6.3,33.4,18.6,9.0,35.3,3.1
13008,43319,9.7,30.0,18.7,33.4,7.9,9.3,6.2,8.0,30.8,20.6,10.0,36.2,3.1
13009,35544,17.8,42.2,12.3,48.7,9.3,10.2,11.6,14.1,42.2,25.6,17.6,38.0,5.9
13010,30557,20.5,29.7,16.1,37.8,7.9,9.5,7.7,9.5,37.1,21.2,12.5,34.0,4.0
13011,34434,20.8,32.7,16.6,40.2,9.3,9.2,9.1,11.6,38.5,21.8,14.2,32.0,4.7
13012,31756,24.4,30.4,16.4,38.1,7.4,10.0,8.7,11.3,37.8,25.1,13.6,34.5,4.5
13013,44001,10.0,32.0,17.1,34.1,8.2,9.9,7.1,9.0,33.7,20.5,11.8,37.3,3.5
13014,48027,10.8,29.7,22.2,30.9,7.2,10.6,5.5,7.9,34.0,21.0,9.3,36.0,2.9
13015,47516,10.8,26.9,16.4,33.5,7.5,9.6,6.0,8.0,35.1,19.9,10.7,36.8,3.1
13016,41631,14.4,39.3,12.9,45.3,7.1,12.0,10.0,15.4,41.6,34.1,15.3,41.7,4.9
13017,49344,12.0,32.2,18.6,35.4,7.8,10.7,6.9,9.1,35.6,21.0,11.0,38.0,3.5
13018,32157,25.8,36.7,13.8,43.2,10.7,9.0,11.9,14.4,43.0,23.9,15.9,34.1,6.0
13019,49419,11.6,27.8,20.9,30.7,6.5,10.3,5.1,7.3,30.5,20.7,8.7,36.1,2.7
13020,48762,10.2,38.9,15.7,41.7,10.6,10.1,9.4,10.6,43.1,18.3,13.6,35.8,4.5
13021,41660,14.3,39.1,12.8,44.8,7.1,12.2,9.9,15.5,41.5,34.1,15.3,41.3,4.9
13022,38671,18.8,25.0,16.1,35.7,6.2,9.8,5.4,6.7,33.6,19.7,10.2,38.2,3.1
13023,50658,9.3,28.5,20.9,34.6,8.5,8.3,7.0,6.7,34.4,17.4,10.3,33.0,3.5
13024,55303,10.2,21.1,22.3,28.0,6.4,8.7,4.5,4.9,29.5,18.3,8.2,36.0,2.5
13025,47111,13.4,26.3,15.7,33.0,6.7,10.5,6.0,8.6,33.6,22.7,10.6,37.1,3.2
13026,43928,11.2,30.3,17.4,30.8,7.2,10.2,6.3,9.6,32.6,26.0,10.4,36.1,3.3
13027,41142,11.5,31.6,16.3,38.8,6.5,10.4,7.6,10.5,35.0,27.2,12.1,40.5,3.6
13028,55060,11.6,22.4,22.7,28.6,7.4,8.9,5.9,5.8,30.2,18.0,8.9,36.8,3.1
13029,53190,13.0,18.4,25.5,22.4,4.7,10.7,4.2,4.8,25.0,16.6,6.0,31.8,2.2
13030,48638,10.8,31.9,17.5,34.5,8.8,10.5,6.8,7.9,35.9,17.0,10.8,37.4,3.5
13031,32750,17.9,25.3,18.3,31.2,7.8,8.3,6.2,7.7,33.4,15.3,10.2,27.4,3.3
13032,32202,35.2,24.4,16.9,43.7,5.0,11.0,8.9,12.7,30.0,33.0,16.8,43.3,6.1
13033,53947,11.5,37.9,17.0,41.4,10.6,9.7,9.9,9.4,39.8,17.9,12.9,35.9,4.9
13034,47393,13.9,28.7,15.5,36.0,7.4,10.4,7.4,10.1,34.6,26.1,12.0,37.3,3.8
13035,53208,17.9,27.0,20.6,34.5,4.7,12.2,5.4,6.7,29.6,24.2,12.8,42.4,4.0
13036,37410,30.8,34.8,10.3,52.7,5.9,14.0,9.5,13.2,35.3,30.4,24.4,50.3,7.8
13037,33170,31.4,19.4,17.7,32.7,4.9,9.3,5.3,6.7,27.2,17.4,13.4,31.9,3.8
13038,31560,23.8,29.0,16.4,38.7,7.4,9.9,7.9,10.1,35.2,24.5,13.6,34.3,4.3
