ZCTA,Total Population,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Total_Population_18plus,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,Employed_16_above,All_death,Heart_death,Income,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%,OSM_healthcare_poi,zip_level_facilities,zip_level_facilities_filtered,county_level_facilities,county_level_facilities_filtered,county_name,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
90014,7005,18.0,22.2,15.9,37.3,5.3,8.5,8.2,7.8,29.0,17.6,16.5,32.8,5.3,8561,1143,1488,2297,3633,8561,98.0,33.0,40641.0,0.634525042,0.365474958,0.009554901,0.007166176,0.254080739,0.241500119,0.122223107,0.007484672,0.008042042,0.160761207,0.107572259,0.081614778,1.0,8.0,2.0,6130.0,1247.0,Los Angeles,0.950178443968594,0.401570306923626,0.2937901498929336,0.0127052105638829,0.1640256959314775,0.0015703069236259,0.0765167737330478,0.0498215560314061
90015,18986,26.6,14.9,16.6,25.2,3.6,8.1,4.8,4.7,25.0,14.0,11.8,29.5,2.9,18648,4820,2884,4291,6653,19127,93.0,22.0,43890.0,0.599217311,0.400782689,0.002302026,0.003453039,0.255639963,0.188075506,0.149746777,0.006445672,0.002417127,0.198664825,0.07861418,0.114640884,6.0,17.0,13.0,6130.0,1247.0,Los Angeles,0.9541767618245024,0.3534709786158221,0.0702622985357632,0.0103233961866638,0.1406826082376488,0.000790055830612,0.3786474244179922,0.0458232381754977
90016,47596,22.9,18.8,16.0,31.1,4.7,9.2,5.0,5.2,26.8,13.9,12.9,33.3,3.8,36892,8828,7931,11505,8628,38092,323.0,72.0,48715.0,0.508454373,0.491545627,0.033464306,0.059644166,0.24418348,0.123923889,0.047238533,0.019425191,0.064191426,0.241490442,0.106706106,0.059732462,3.0,9.0,5.0,6130.0,1247.0,Los Angeles,0.9501008488108243,0.2448314984452475,0.3745903017060257,0.0090133624674342,0.0309479788217497,0.0011345491217749,0.2895831582485923,0.0498991511891755
90017,23768,30.7,14.7,16.6,25.4,3.3,8.6,5.1,5.3,24.3,16.2,12.0,30.5,3.1,21792,7362,3399,4500,6531,22427,110.0,30.0,35605.0,0.499357284,0.500642716,0.030719624,0.074860019,0.182727293,0.131636855,0.079413495,0.018671431,0.071984139,0.155123205,0.145406218,0.109457722,3.0,21.0,11.0,6130.0,1247.0,Los Angeles,0.9456832716257152,0.3477785257489061,0.0601649276337933,0.0202372938404577,0.1356866374957926,0.0010097610232245,0.3808061258835409,0.0543167283742847
90018,49310,24.7,19.0,15.8,31.1,4.7,9.1,5.4,5.5,26.9,14.1,13.5,33.3,4.0,41187,11155,10283,11822,7927,42672,346.0,98.0,45984.0,0.537640227,0.462359773,0.037838618,0.080691123,0.24658226,0.11117123,0.061356996,0.026584424,0.06882372,0.199004437,0.105147351,0.062799841,3.0,9.0,1.0,6130.0,1247.0,Los Angeles,0.9528290407625228,0.2600892313932265,0.3176434800243358,0.0095518150476576,0.0369296288785236,0.0013181910363009,0.3272966943824782,0.0471709592374771
90019,64458,19.9,17.5,16.0,28.6,4.7,8.2,4.7,4.6,27.0,12.5,11.6,28.4,3.3,52987,11911,10137,13382,17557,54068,393.0,106.0,56389.0,0.483529632,0.516470368,0.031164704,0.087006917,0.174780333,0.122938867,0.067638811,0.028584782,0.083249205,0.174742943,0.131632081,0.098261357,4.0,13.0,3.0,6130.0,1247.0,Los Angeles,0.9517825560830308,0.299745570759254,0.2365726519594154,0.0089515653603897,0.1574513636786745,0.0009153247075615,0.2481460796177355,0.0482174439169691
90020,38967,17.7,13.3,15.1,23.0,3.6,6.7,3.4,3.4,25.5,11.7,9.3,21.6,2.2,32031,5368,7246,6623,12794,32637,151.0,40.0,49068.0,0.492438095,0.507561905,0.031425295,0.052282518,0.186924722,0.139414882,0.082390678,0.032726935,0.062494189,0.164998295,0.141181393,0.106161093,10.0,10.0,6.0,6130.0,1247.0,Los Angeles,0.9640208381450972,0.2434367541766109,0.058254420407011,0.005697128339364,0.4751456360510175,0.0007955449482895,0.1806913542228039,0.0359791618549028
90021,3951,22.8,22.8,16.0,39.1,4.6,8.9,9.0,9.0,30.8,20.1,19.2,38.9,5.8,2612,835,440,598,739,2657,31.0,,21635.0,0.489218913,0.510781087,0.037867769,0.058358213,0.202684427,0.122687489,0.067621016,0.024267014,0.0621603,0.206460997,0.139503432,0.078389344,,6.0,4.0,6130.0,1247.0,Los Angeles,0.9633004302708176,0.4100227790432801,0.3143507972665148,0.0124019235636547,0.0399898759807643,0.0010124019235636,0.1855226524930397,0.0366995697291824
90022,67179,34.1,15.9,16.4,25.9,4.0,8.2,5.2,4.7,27.1,13.6,13.3,32.8,3.0,48808,20209,12562,11981,4056,51001,377.0,90.0,46051.0,0.615619694,0.384380306,0.00713073,0.076400679,0.209168081,0.250594228,0.072325976,0.020033956,0.00950764,0.208149406,0.097453311,0.049235993,7.0,24.0,19.0,6130.0,1247.0,Los Angeles,0.9662096786198068,0.5236308965599369,0.0057607287991783,0.0127718483454651,0.0081721966686017,0.0005358817487607,0.4153381264978639,0.0337903213801932
90023,45903,36.7,15.6,16.5,25.7,3.7,8.5,5.3,5.0,26.5,14.9,13.4,33.6,3.0,33345,15556,8644,6964,2181,34828,240.0,61.0,42972.0,0.492568717,0.507431283,0.038096517,0.099382219,0.169173606,0.117229236,0.06868714,0.031217358,0.102978482,0.165771331,0.122765392,0.08469872,2.0,8.0,4.0,6130.0,1247.0,Los Angeles,0.9683027253120712,0.4961985055442999,0.0067098011023244,0.0121996383678626,0.005947323704333,0.0006971221924492,0.4465503344008016,0.0316972746879288
90024,47452,11.3,12.5,18.6,17.9,4.2,8.4,3.1,3.3,19.8,9.1,4.7,18.7,1.7,47451,917,4731,22816,18987,48076,189.0,54.0,65855.0,0.507390746,0.492609254,0.039224507,0.113774636,0.175278492,0.117352185,0.061760925,0.032754927,0.09991431,0.161289632,0.120072836,0.078577549,1.0,6.0,4.0,6130.0,1247.0,Los Angeles,0.945039197504847,0.6160330439180646,0.0214532580291663,0.0016648402596307,0.2658475933574981,0.0012012138582146,0.0388392480822726,0.054960802495153
90025,42147,9.5,14.6,20.0,20.5,5.1,7.1,3.3,3.2,24.1,8.8,5.9,20.6,1.9,41378,2794,3468,7280,27836,41838,220.0,52.0,87280.0,0.444806012,0.555193988,0.011970481,0.023805373,0.293974083,0.049760784,0.065295291,0.015708835,0.029403219,0.364073063,0.064578612,0.081430259,3.0,20.0,6.0,6130.0,1247.0,Los Angeles,0.94578499062804,0.6467126960400503,0.0281158801338173,0.0049825610363726,0.1988753647946473,0.0011625975751536,0.0659358910479986,0.05421500937196
90026,67869,20.0,14.5,17.9,23.3,4.1,7.4,4.0,3.8,25.9,11.8,9.7,26.1,2.4,57531,12581,9608,13842,21500,58633,288.0,61.0,65269.0,0.513213745,0.486786255,0.02220421,0.042254122,0.276048888,0.100270887,0.072435638,0.018343536,0.034618092,0.224409701,0.11046648,0.098948446,5.0,20.0,7.0,6130.0,1247.0,Los Angeles,0.9505960011198044,0.467267824780091,0.0294832692392697,0.0125535958979799,0.1732602513666033,0.0012376784688149,0.2667933813670453,0.0494039988801956
90027,45151,11.7,17.6,18.8,24.6,5.7,7.6,4.5,4.4,26.8,10.9,8.1,24.0,2.5,39488,3809,5895,8762,21022,39923,311.0,90.0,66947.0,0.509737904,0.490262096,0.02512118,0.059094999,0.226845267,0.138565582,0.060110876,0.027631846,0.053231939,0.204829768,0.113865266,0.090703277,3.0,22.0,11.0,6130.0,1247.0,Los Angeles,0.9544639099909192,0.6984341432083453,0.0312728400256915,0.0044960244512856,0.1327323868795818,0.0007973245332329,0.086731190892782,0.0455360900090806
90028,28714,14.7,15.5,20.4,23.4,4.5,7.9,4.2,4.4,23.9,12.3,8.0,26.3,2.4,27759,2871,4522,7886,12480,28020,195.0,48.0,45499.0,0.485392004,0.514607996,0.024637034,0.040026804,0.200446728,0.132365423,0.087916015,0.019231628,0.034085325,0.214540987,0.13127094,0.115479115,8.0,11.0,6.0,6130.0,1247.0,Los Angeles,0.9504771191753152,0.6314689698404959,0.0794734275962944,0.0073483318241972,0.0834436163543915,0.0020547468134011,0.1466880267465347,0.0495228808246848
90029,38617,22.6,16.8,16.7,26.2,4.5,7.8,5.0,5.1,27.3,13.3,11.3,27.8,3.0,31206,7785,7098,7501,8822,31791,246.0,64.0,41998.0,0.538422785,0.461577215,0.010411769,0.025089004,0.26909384,0.15469873,0.079129442,0.011452946,0.020722778,0.223718681,0.112816551,0.092866259,16.0,33.0,11.0,6130.0,1247.0,Los Angeles,0.9508506616257087,0.438848175673926,0.0319030478804671,0.00888209855763,0.1627521557863117,0.0010358132428723,0.3074293704845016,0.0491493383742911
90031,39316,27.6,16.9,14.4,27.9,4.2,7.7,5.6,5.1,28.7,14.0,13.7,27.7,3.3,31306,11359,6652,6920,6375,32395,243.0,62.0,48479.0,0.503681684,0.496318316,0.022690084,0.048925494,0.208846951,0.139249482,0.083969674,0.020835606,0.056507036,0.193220247,0.120186539,0.105568888,7.0,4.0,3.0,6130.0,1247.0,Los Angeles,0.9624834672906704,0.3563943432699155,0.0133533421507783,0.010860718282633,0.2535863261776376,0.0006358734357513,0.3276528639739546,0.0375165327093295
90032,45786,26.6,15.7,16.2,25.5,4.3,7.6,4.8,4.3,27.5,11.9,12.3,28.9,2.8,37525,11184,8566,10992,6783,38773,276.0,72.0,57225.0,0.488550957,0.511449043,0.024902295,0.079291512,0.181531216,0.129246417,0.073579517,0.029737449,0.081771721,0.158783445,0.129647259,0.111509169,3.0,3.0,2.0,6130.0,1247.0,Los Angeles,0.9589830952692964,0.4500939151705762,0.0229327742104573,0.014851701393439,0.1118245751976586,0.0007207443323286,0.3585593849648364,0.0410169047307037
90033,48852,35.4,16.9,15.5,27.6,4.1,8.5,5.9,5.5,27.9,15.0,14.4,33.1,3.4,34861,15653,8523,6720,3965,36770,291.0,67.0,38266.0,0.49268181,0.50731819,0.034061335,0.077387521,0.181528596,0.121671421,0.078032937,0.028231767,0.079053112,0.17161833,0.118798276,0.109616706,8.0,25.0,15.0,6130.0,1247.0,Los Angeles,0.9603291574551708,0.4597150577253746,0.0189552116597068,0.0110128551543437,0.0434782608695652,0.0004708097928436,0.4266969622533366,0.0396708425448292
90034,57964,11.9,13.1,20.1,19.9,4.2,7.2,2.9,2.9,22.8,9.2,6.3,22.5,1.8,46559,4072,5232,11465,25790,47250,239.0,64.0,75714.0,0.480520802,0.519479198,0.0335266,0.113803275,0.159841318,0.110283796,0.063065812,0.03838877,0.105075781,0.158986878,0.126070593,0.090957176,14.0,9.0,1.0,6130.0,1247.0,Los Angeles,0.9456386722793458,0.4960320198744048,0.1053239942032986,0.0086432958387964,0.1917051963287557,0.0026568214753985,0.1412773445586916,0.0543613277206542
90035,28418,8.4,18.6,19.3,24.9,6.6,7.8,4.3,4.0,27.3,9.3,7.2,23.1,2.5,21341,1051,2428,4753,13109,21997,196.0,51.0,89337.0,0.509422402,0.490577598,0.016821076,0.043890756,0.261190843,0.12703069,0.060489037,0.024637493,0.050221867,0.225023672,0.117450474,0.073244091,5.0,11.0,4.0,6130.0,1247.0,Los Angeles,0.9518614962347808,0.7605742839045675,0.090365261454008,0.0028854951087339,0.0628474910268139,0.0005982124005911,0.0345907523400661,0.0481385037652192
90036,36865,8.0,13.6,21.0,19.4,4.8,7.1,2.9,2.8,22.8,8.5,5.3,20.4,1.7,31843,829,2953,6975,21086,32305,208.0,63.0,80539.0,0.476679378,0.523320622,0.039417718,0.071868583,0.153894104,0.11799648,0.093502493,0.035347609,0.070841889,0.187408331,0.120233206,0.109489586,1.0,14.0,6.0,6130.0,1247.0,Los Angeles,0.962457615624576,0.6727519327275193,0.0582666485826664,0.0020073240200732,0.2039603960396039,0.0010307880103078,0.0244405262444052,0.0375423843754238
90037,62276,34.2,17.4,15.8,29.5,3.7,9.8,5.5,6.2,25.8,17.9,14.1,36.4,3.9,48804,21099,13570,10902,3233,50660,359.0,96.0,35424.0,0.462004478,0.537995522,0.031871461,0.048597392,0.195969972,0.127538522,0.05802713,0.023732385,0.057052548,0.249440274,0.125115238,0.082655077,6.0,9.0,7.0,6130.0,1247.0,Los Angeles,0.9595189157942065,0.2632635365148693,0.2230875457640182,0.0110154794784507,0.0086710771404714,0.0009313379150876,0.452549938981309,0.0404810842057935
90038,28917,22.2,15.2,18.7,23.8,4.0,8.1,4.3,4.6,25.0,13.6,9.8,28.8,2.6,24086,5806,4820,5726,7734,24627,124.0,29.0,47116.0,0.501596688,0.498403312,0.040257244,0.097161443,0.190227676,0.120653459,0.053296866,0.041573034,0.099482555,0.161531638,0.122028386,0.0737877,1.0,4.0,2.0,6130.0,1247.0,Los Angeles,0.949337759795276,0.5148528547221358,0.0423280423280423,0.0067088563820589,0.0811979112632707,0.0014178510910537,0.3028322440087146,0.0506622402047238
90039,28514,14.0,15.9,18.2,23.9,5.2,6.9,4.0,3.5,27.6,9.5,8.8,23.5,2.3,24775,3299,3407,6167,11902,25376,189.0,44.0,90538.0,0.535864241,0.464135759,0.021763471,0.060916725,0.252379286,0.140202939,0.060601819,0.019944017,0.054618614,0.204688593,0.115395381,0.069489153,1.0,19.0,0.0,6130.0,1247.0,Los Angeles,0.948376236234832,0.5652661850319142,0.0226906081223258,0.0064880409623342,0.1837343059549694,0.00143789015922,0.1687592060040681,0.0516237637651679
90040,12520,31.4,16.5,16.4,26.2,4.5,8.0,5.3,4.6,28.1,12.4,13.1,31.4,3.0,9392,3727,2279,2549,837,9810,88.0,23.0,47120.0,0.50064385,0.49935615,0.030599797,0.05367672,0.194442562,0.135750593,0.086174178,0.021856998,0.054320569,0.160420197,0.149813623,0.112944764,,6.0,2.0,6130.0,1247.0,Los Angeles,0.9539936102236422,0.55,0.0074281150159744,0.0128594249201277,0.011182108626198,0.0007188498402555,0.3718051118210863,0.0460063897763578
90041,27425,13.2,16.6,16.6,24.6,5.4,6.9,4.2,3.7,28.4,9.1,9.2,21.8,2.4,23978,2366,3785,7877,9950,24509,192.0,57.0,85971.0,0.484993511,0.515006489,0.027903958,0.085739779,0.159393251,0.115996106,0.095960415,0.030499676,0.094013628,0.164422453,0.127514601,0.098556132,3.0,30.0,6.0,6130.0,1247.0,Los Angeles,0.9472379216043756,0.4914129443938013,0.0223154056517775,0.0074384685505925,0.2836098450319052,0.0010574293527803,0.1414038286235187,0.0527620783956244
90042,62430,21.6,15.1,17.3,23.8,4.3,7.4,4.1,3.8,26.5,11.1,10.2,27.2,2.4,51096,11325,10661,13646,15464,52505,282.0,84.0,64267.0,0.479305603,0.520694397,0.031969749,0.055448608,0.173427295,0.129804056,0.088655895,0.0224132,0.065898934,0.159779993,0.130491578,0.142110691,3.0,11.0,8.0,6130.0,1247.0,Los Angeles,0.9467884030113728,0.4764055742431523,0.0256447220887393,0.0114688451065193,0.1222489187890437,0.0008970046452026,0.3101233381387153,0.0532115969886272
90043,44789,17.7,22.3,14.7,37.1,5.8,9.9,5.6,5.7,29.0,13.4,14.4,34.7,4.7,36953,6395,8252,13337,8969,37968,492.0,163.0,54729.0,0.492839397,0.507160603,0.029686832,0.06535534,0.188865855,0.132846993,0.076084376,0.030224867,0.066162391,0.188296172,0.12934977,0.093127403,1.0,9.0,3.0,6130.0,1247.0,Los Angeles,0.9570876777780258,0.1099153810087298,0.6586438634486146,0.0060952466007278,0.0084842260376431,0.0008707495143896,0.1730782111679207,0.0429123222219741
90044,89779,29.4,18.8,15.5,31.8,4.1,10.2,5.5,6.2,26.4,17.4,14.2,36.8,4.2,70030,24118,20957,19813,5142,73215,621.0,164.0,35981.0,0.48374861,0.51625139,0.030933229,0.071937741,0.166742964,0.119765439,0.094369237,0.018725612,0.072853312,0.137226691,0.151309049,0.136136725,2.0,9.0,6.0,6130.0,1247.0,Los Angeles,0.9602802437095534,0.2242729368783345,0.374876084607759,0.0074182158411209,0.00376480023168,0.0009022154401363,0.3490459907105225,0.0397197562904465
90046,48581,8.4,16.8,21.5,22.7,5.9,7.4,4.0,3.7,25.4,9.6,6.2,23.2,2.2,46975,1483,5403,11584,28505,47364,348.0,100.0,72266.0,0.473019942,0.526980058,0.021717159,0.0511746,0.206152784,0.114378682,0.079596717,0.022801785,0.061453891,0.206843,0.127196983,0.108684399,,9.0,0.0,6130.0,1247.0,Los Angeles,0.9626808834729628,0.83997859245384,0.0351577777320351,0.0032934686400032,0.0543834009180543,0.0008645355180008,0.029003108211029,0.0373191165270373
90047,48606,19.6,22.3,14.7,37.1,5.5,10.2,5.7,6.0,28.1,14.5,14.8,35.6,4.9,40246,8125,11029,15327,5765,41436,480.0,117.0,52605.0,0.544911591,0.455088409,0.016836935,0.021925344,0.248388998,0.165756385,0.092003929,0.012475442,0.025874263,0.212946955,0.112652259,0.091139489,,8.0,7.0,6130.0,1247.0,Los Angeles,0.9659301320824588,0.1179689750236596,0.6566061803069579,0.0045879109574949,0.0053491338517878,0.0011109739538328,0.1803069579887256,0.034069867917541
90048,21397,7.3,17.6,20.3,22.9,6.7,7.3,4.0,3.5,26.2,8.4,6.0,21.5,2.2,19494,775,1551,4011,13157,19596,178.0,52.0,100586.0,0.446110755,0.553889245,0.032405516,0.071113186,0.148392367,0.114780883,0.079418801,0.034370076,0.079282644,0.157028651,0.145785921,0.137421953,4.0,16.0,5.0,6130.0,1247.0,Los Angeles,0.9626583165864372,0.8402112445669954,0.0304715614338458,0.001729214375847,0.0734215076879936,0.0007010328550731,0.0161237556666822,0.0373416834135626
90049,35482,6.2,18.9,18.9,24.1,7.4,7.1,4.2,3.5,28.9,7.0,6.3,20.4,2.2,29809,821,1695,4866,22427,30689,269.0,65.0,129688.0,0.452464051,0.547535949,0.022011262,0.022709293,0.194611196,0.134254735,0.078877565,0.02294197,0.025175671,0.253059705,0.119084183,0.127274419,,3.0,0.0,6130.0,1247.0,Los Angeles,0.9605997407136012,0.8416661969449298,0.014486218364241,0.0013527986021081,0.0866918437517614,0.0007609492136858,0.015641733836875,0.0394002592863987
90056,7827,7.9,23.7,13.7,38.1,7.7,8.7,5.3,4.2,31.1,7.9,12.4,29.7,4.1,6255,273,753,2036,3193,6528,91.0,21.0,92656.0,0.459333297,0.540666703,0.030287221,0.065654347,0.129441485,0.120654621,0.113295623,0.022681092,0.062853534,0.176149157,0.140562359,0.138420561,,1.0,1.0,6130.0,1247.0,Los Angeles,0.947489459563051,0.1341510157148332,0.757761594480644,0.0025552574421873,0.032579532387888,0.000383288616328,0.0200587709211703,0.052510540436949
90057,44998,31.8,15.4,15.8,26.4,3.7,8.0,5.2,5.2,26.8,15.7,12.5,29.3,3.2,38920,16116,7734,7747,7323,40101,271.0,64.0,37700.0,0.387370898,0.612629102,0.008628579,0.069551575,0.057262387,0.136096222,0.115832135,0.026670153,0.077395738,0.138057262,0.149431298,0.22107465,4.0,38.0,15.0,6130.0,1247.0,Los Angeles,0.9469087515000668,0.2872127650117783,0.0463798391039601,0.0160451575625583,0.1998088803946842,0.0022000977821236,0.395262011644962,0.0530912484999333
90058,3223,35.7,17.2,15.3,28.0,3.6,9.6,5.5,6.2,25.4,17.7,14.4,35.2,3.6,1601,811,443,273,74,1696,16.0,,21964.0,0.545162705,0.454837295,0.033896953,0.085619716,0.234208008,0.126236242,0.065201787,0.031982772,0.072459722,0.16093077,0.106356676,0.083107354,,1.0,0.0,6130.0,1247.0,Los Angeles,0.9562519391870928,0.3565001551349674,0.0930809804529941,0.0254421346571517,0.0440583307477505,0.0,0.4371703381942289,0.0437480608129072
